,Beer_Name,Beer_ID,Brew_ID,ABV,IBU,Style,Ounces,Brewery_Name,City,State
1,Pub Beer,1436,409,0.05,21,American Pale Lager,12,10 Barrel Brewing Company,Bend, OR
2,Devil's Cup,2265,178,0.066,72,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
3,Rise of the Phoenix,2264,178,0.071,70,American IPA,12,18th Street Brewery,Gary, IN
4,Sinister,2263,178,0.09,85,American Double / Imperial IPA,12,18th Street Brewery,Gary, IN
5,Sex and Candy,2262,178,0.075,60,American IPA,12,18th Street Brewery,Gary, IN
6,Black Exodus,2261,178,0.077,65,Oatmeal Stout,12,18th Street Brewery,Gary, IN
7,Lake Street Express,2260,178,0.045,20,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
8,Foreman,2259,178,0.065,70,American Porter,12,18th Street Brewery,Gary, IN
9,Jade,2258,178,0.055,64,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
10,Cone Crusher,2131,178,0.086,35,American Double / Imperial IPA,12,18th Street Brewery,Gary, IN
11,Sophomoric Saison,2099,178,0.072,27,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
12,Regional Ring Of Fire,2098,178,0.073,93,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
13,Garce Selé,2097,178,0.069,65,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
14,Troll Destroyer,1980,178,0.085,23,Belgian IPA,12,18th Street Brewery,Gary, IN
15,Bitter Bitch,1979,178,0.061,60,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
16,Ginja Ninja,2318,155,0.06,55,Cider,12,2 Towns Ciderhouse,Corvallis, OR
17,Cherried Away,2170,155,0.06,64,Cider,12,2 Towns Ciderhouse,Corvallis, OR
18,Rhubarbarian,2169,155,0.06,69,Cider,12,2 Towns Ciderhouse,Corvallis, OR
19,BrightCider,1502,155,0.06,53,Cider,12,2 Towns Ciderhouse,Corvallis, OR
20,He Said Baltic-Style Porter,1593,369,0.082,88,Baltic Porter,12,21st Amendment Brewery,San Francisco, CA
21,He Said Belgian-Style Tripel,1592,369,0.082,80,Tripel,12,21st Amendment Brewery,San Francisco, CA
22,Lower De Boom,1036,369,0.099,92,American Barleywine,8.4,21st Amendment Brewery,San Francisco, CA
23,Fireside Chat,1024,369,0.079,45,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA
24,Marooned On Hog Island,976,369,0.079,23,American Stout,12,21st Amendment Brewery,San Francisco, CA
25,Bitter American,876,369,0.044,42,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA
26,Hell or High Watermelon Wheat (2009),802,369,0.049,17,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
27,Hell or High Watermelon Wheat (2009),801,369,0.049,17,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
28,21st Amendment Watermelon Wheat Beer (2006),800,369,0.049,17,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
29,21st Amendment IPA (2006),799,369,0.07,70,American IPA,12,21st Amendment Brewery,San Francisco, CA
30,Brew Free! or Die IPA (2008),797,369,0.07,70,American IPA,12,21st Amendment Brewery,San Francisco, CA
31,Brew Free! or Die IPA (2009),796,369,0.07,70,American IPA,12,21st Amendment Brewery,San Francisco, CA
32,Special Edition: Allies Win The War!,531,369,0.085,52,English Strong Ale,12,21st Amendment Brewery,San Francisco, CA
33,Hop Crisis,432,369,0.097,94,American Double / Imperial IPA,12,21st Amendment Brewery,San Francisco, CA
34,Bitter American (2011),353,369,0.044,42,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA
35,Fireside Chat (2010),321,369,0.079,45,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA
36,Back in Black,173,369,0.068,65,American Black Ale,12,21st Amendment Brewery,San Francisco, CA
37,Monk's Blood,11,369,0.083,35,Belgian Dark Ale,12,21st Amendment Brewery,San Francisco, CA
38,Brew Free! or Die IPA,10,369,0.07,65,American IPA,12,21st Amendment Brewery,San Francisco, CA
